,Unnamed: 0,election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,StreetAddress,City,State,ZipCode,category,NonReligious,ReligiousBuilding,BuildingType,Latitude,Longitude
46,46,11/3/2020,IA,Benton,Benton,county,IA,Precinct Ia,0,election_day,BLAIRSTOWN COMMUNITY CENTER,"305 LOCUST STREET NW, BLAIRSTOWN, IA 52209",0,ORR,10/9/2020,0,305 LOCUST STREET NW,BLAIRSTOWN,IA,52209,NonReligious,1,0,NonReligious,41.9086918,-92.0846715
47,47,11/3/2020,IA,Benton,Benton,county,KA,Precinct Ka,0,election_day,KEYSTONE CITY HALL,"208 1ST STREET, KEYSTONE, IA 52249",0,ORR,10/9/2020,0,208 1ST STREET,KEYSTONE,IA,52249,NonReligious,1,0,NonReligious,41.9991839,-92.19844422
48,48,11/3/2020,IA,Benton,Benton,county,PO,Precinct Po,0,election_day,URBANA COMMUNITY CENTER,"102 CAPITAL AVE, URBANA, IA 52345",0,ORR,10/9/2020,0,102 CAPITAL AVE,URBANA,IA,52345,NonReligious,1,0,NonReligious,42.23485765,-91.89166369
49,49,11/3/2020,IA,Benton,Benton,county,VT1,Precinct Vt1,0,election_day,VT1-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349",0,ORR,10/9/2020,0,1703 C AVE,VINTON,IA,52349,NonReligious,1,0,NonReligious,42.1551703,-92.0280955
50,50,11/3/2020,IA,Benton,Benton,county,VT2,Precinct Vt2,0,election_day,VT2-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349",0,ORR,10/9/2020,0,1703 C AVE,VINTON,IA,52349,NonReligious,1,0,NonReligious,42.1551703,-92.0280955
51,51,11/3/2020,IA,Benton,Benton,county,VT3,Precinct Vt3,0,election_day,VT3-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349",0,ORR,10/9/2020,0,1703 C AVE,VINTON,IA,52349,NonReligious,1,0,NonReligious,42.1551703,-92.0280955
52,52,11/3/2020,IA,Benton,Benton,county,VT4,Precinct Vt4,0,election_day,VT4-VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON, IA 52349",0,ORR,10/9/2020,0,1703 C AVE,VINTON,IA,52349,NonReligious,1,0,NonReligious,42.1551703,-92.0280955
53,53,11/3/2020,IA,Benton,Benton,county,WA,Precinct Wa,0,election_day,WALFORD COMMUNITY CENTER,"120 5TH STREET N, WALFORD, IA 52351",0,ORR,10/9/2020,0,120 5TH STREET N,WALFORD,IA,52351,NonReligious,1,0,NonReligious,41.877842,-91.83150081
54,54,11/3/2020,IA,Black Hawk,Black Hawk,county,ALOO,Barclay/Lester/Dunkerton,0,election_day,DUNKERTON COMMUNITY HALL,"115 W MAIN ST, DUNKERTON, IA 50626",0,ORR,10/9/2020,0,115 W MAIN ST,DUNKERTON,IA,50626,NonReligious,1,0,NonReligious,42.57205547,-92.16091605
55,55,11/3/2020,IA,Black Hawk,Black Hawk,county,B000,Bennington,0,election_day,DUNKERTON COMMUNITY HALL,"115 W MAIN ST, DUNKERTON, IA 50626",0,ORR,10/9/2020,0,115 W MAIN ST,DUNKERTON,IA,50626,NonReligious,1,0,NonReligious,42.57205547,-92.16091605
56,56,11/3/2020,IA,Black Hawk,Black Hawk,county,C000,Big Creek/La Porte City,0,election_day,UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY, IA 50651",0,ORR,10/9/2020,0,200 ADAMS ST,LA PORTE CITY,IA,50651,NonReligious,1,0,NonReligious,42.31456846,-92.19925758
57,57,11/3/2020,IA,Black Hawk,Black Hawk,county,DK00,Elk Run Heights/Raymond,0,election_day,ELK RUN HEIGHTS CITY HALL,"5042 LAFAYETTE RD, ELK RUN HEIGHTS, IA 50707",0,ORR,10/9/2020,0,5042 LAFAYETTE RD,ELK RUN HEIGHTS,IA,50707,NonReligious,1,0,NonReligious,42.4686084,-92.2612217
58,58,11/3/2020,IA,Black Hawk,Black Hawk,county,DM00,Black Hawk/Hudson/Lincoln,0,election_day,HUDSON COMMUNITY CENTER,"525 JEFFERSON ST, HUDSON, IA 50643",0,ORR,10/9/2020,0,525 JEFFERSON ST,HUDSON,IA,50643,NonReligious,1,0,NonReligious,42.4072474,-92.4550539
59,59,11/3/2020,IA,Black Hawk,Black Hawk,county,EO00,Cedar/Orange,0,election_day,ST PAUL PRESBYTERIAN CHURCH,"410 FIRST ST, WASHBURN, IA 50706",0,ORR,10/9/2020,0,410 FIRST ST,WASHBURN,IA,50706,"ReligiousBuilding, ReligiousBuilding",0,2,Religious,42.40602966,-92.25902964
60,60,11/3/2020,IA,Black Hawk,Black Hawk,county,G000,Eagle,0,election_day,S. WLOO CHURCH OF THE BRETHREN,"6227 KIMBALL AV, WATERLOO, IA 50701",0,ORR,10/9/2020,0,6227 KIMBALL AV,WATERLOO,IA,50701,ReligiousBuilding,0,1,Religious,42.4246644,-92.3562578
61,61,11/3/2020,IA,Black Hawk,Black Hawk,county,J100,Evansdale Ward 1,0,election_day,EVANSDALE CITY HALL,"123 N EVANS RD, EVANSDALE, IA 50707",0,ORR,10/9/2020,0,123 N EVANS RD,EVANSDALE,IA,50707,NonReligious,1,0,NonReligious,42.4783778,-92.2886032
