,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
694,WEST DES MOINES 117,1826,425,218,643,226,629,855,0,1,1,0,0,0,0,0,0,1,0,1,6,4,10,1,0,1,4,2,6,6,4,10,1527,Polk WEST DES MOINES 117
695,WEST DES MOINES 118,1835,242,186,428,303,589,892,0,1,1,1,1,2,0,0,0,0,1,1,8,11,19,0,0,0,1,0,1,1,2,3,1347,Polk WEST DES MOINES 118
696,WEST DES MOINES 211,1670,273,195,468,225,536,761,2,0,2,1,0,1,0,2,2,0,1,1,9,6,15,0,0,0,1,1,2,2,4,6,1258,Polk WEST DES MOINES 211
697,WEST DES MOINES 212,2230,337,218,555,328,732,1060,0,0,0,0,1,1,1,1,2,2,6,8,14,8,22,0,1,1,3,1,4,2,2,4,1657,Polk WEST DES MOINES 212
698,WEST DES MOINES 213,1352,306,236,542,164,444,608,0,0,0,0,2,2,0,0,0,1,2,3,7,3,10,0,0,0,0,1,1,2,3,5,1171,Polk WEST DES MOINES 213
699,WEST DES MOINES 311,2465,439,335,774,265,828,1093,0,0,0,1,0,1,1,0,1,1,5,6,12,8,20,0,0,0,3,0,3,3,3,6,1904,Polk WEST DES MOINES 311
700,WEST DES MOINES 312,1970,406,225,631,275,732,1007,0,1,1,0,1,1,0,0,0,1,2,3,11,8,19,0,0,0,3,2,5,2,3,5,1672,Polk WEST DES MOINES 312
701,WEST DES MOINES 313,969,222,105,327,152,299,451,2,0,2,1,1,2,0,0,0,1,0,1,5,4,9,0,0,0,0,0,0,0,0,0,792,Polk WEST DES MOINES 313
702,WEST DES MOINES 314,1152,148,120,268,177,389,566,0,0,0,0,1,1,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,845,Polk WEST DES MOINES 314
703,WEST DES MOINES 315,1911,382,197,579,310,577,887,0,1,1,0,1,1,1,0,1,0,1,1,6,5,11,0,0,0,0,3,3,2,2,4,1488,Polk WEST DES MOINES 315
704,WEST DES MOINES 316,2572,501,346,847,339,861,1200,0,0,0,0,2,2,0,1,1,1,0,1,15,6,21,0,0,0,2,1,3,4,6,10,2085,Polk WEST DES MOINES 316
705,WEST DES MOINES 317,2360,509,382,891,236,795,1031,0,0,0,0,0,0,0,0,0,2,1,3,6,9,15,0,0,0,1,5,6,4,8,12,1958,Polk WEST DES MOINES 317
706,WEST DES MOINES 318,885,193,232,425,61,232,293,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,2,2,1,1,2,730,Polk WEST DES MOINES 318
